,Tweets,cleanedTweets
10,"{""edit_history_tweet_ids"": [""1591120034512142336""], ""id"": ""1591120034512142336"", ""text"": ""I can\u2019t believe I\u2019m thinking &amp;tweeting this but for the first time I\u2019m thinking TRUMP is acting like an asshole. There is no reason to attack very successful Republicans. Yes, I still support him 100% but what if he\u2019s losing it like Biden has? We don\u2019t have the corrupt MSM 2 help""}
",      I canut believe Ium thinking amptweeting this but for the first time Ium thinking TRUMP is acting like an asshole There is no reason to attack very successful Republicans Yes I still support him  but what if heus losing it like Ben has We donut have the corrupt MSM  help 
11,"{""edit_history_tweet_ids"": [""1591120037972447233""], ""id"": ""1591120037972447233"", ""text"": ""@Breaking911 And they\u2019ve just filed an appeal.""}
",       And theyuve just filed an appeal 
12,"{""edit_history_tweet_ids"": [""1591120042183524354""], ""id"": ""1591120042183524354"", ""text"": ""@hrkbenowen He has such a weird walk\n\nI've never noticed before""}
",       He has such a weird walknnIve never noticed before 
13,"{""edit_history_tweet_ids"": [""1591120041885732865""], ""id"": ""1591120041885732865"", ""text"": ""@JamsBy90 @FoxNews You do realize you played right? Biden knows he doesn\u2019t have this authority but used this lie to win young people\u2019s votes.""}
",        You do realize you played right Ben knows he doesnut have this authority but used this lie to win young peopleus votes 
14,"{""edit_history_tweet_ids"": [""1591120038945325056""], ""id"": ""1591120038945325056"", ""text"": ""@MatthewGrenon @redstateal77 @Zandro_5 @shawnfielding22 @joncoopertweets I myself sent 20,000 Dem votes to Arizona, good thing I did!""}
",           I myself sent  Dem votes to Arizona good thing I d 
15,"{""edit_history_tweet_ids"": [""1591120041092997120""], ""id"": ""1591120041092997120"", ""text"": ""@GrahamAllen_1 What votes? He isn't running for office.""}
",       What votes He isnt running for office 
16,"{""edit_history_tweet_ids"": [""1591120045736103936""], ""id"": ""1591120045736103936"", ""text"": ""Still laughing at this. And all those who voted blue to \""codify Roe vs Wade\"".  They'll be using that to sucker voters for 20 years. https://t.co/ddMJofW7AO""}
",      Still laughing at this And all those who voted blue to codify Roe vs Wade  Theyll be using that to sucker voters for  years  
17,"{""edit_history_tweet_ids"": [""1591120056813223936""], ""id"": ""1591120056813223936"", ""text"": ""@AlexpiersonAMP \u2026.he also took a knee""}
",       uhe also took a knee 
18,"{""edit_history_tweet_ids"": [""1591120062970474496""], ""id"": ""1591120062970474496"", ""text"": ""@EffieGib Yes much of Trudeau's cabinet speaks down to Canadians as if they are kindergarteners. It's insulting and wrong. Sarah nailed it.""}
",       Yes much of Trudeaus cabinet speaks down to Canadians as if they are kindergarteners Its insulting and wrong Sarah nailed it 
19,"{""edit_history_tweet_ids"": [""1591120062626533376""], ""id"": ""1591120062626533376"", ""text"": ""@sukloost @aaronhoyland Trudeau won't allow importing because the directions on the products are not bilingual!!!!""}
",        Trudeau wont allow importing because the directions on the products are not bilingual 
20,"{""edit_history_tweet_ids"": [""1591120071489130497""], ""id"": ""1591120071489130497"", ""text"": ""@bk_belton @1MikeMorris He'll be the big lump of coal in Harper's stocking.""}
",        Hell be the big lump of coal in Harpers stocking 
21,"{""edit_history_tweet_ids"": [""1591120072785145856""], ""id"": ""1591120072785145856"", ""text"": ""@theJagmeetSingh SHUT UP  FOOL""}
",       SHUT UP  FOOL 
22,"{""edit_history_tweet_ids"": [""1591120076182540293""], ""id"": ""1591120076182540293"", ""text"": ""@CathySt35873400 I doubt it""}
",       I doubt it 
23,"{""edit_history_tweet_ids"": [""1591120142951383047""], ""id"": ""1591120142951383047"", ""text"": ""@patricklobo01 @RobertFife You\u2019re not a serious person if you believe that. That wasn\u2019t their demand at all. Turn off the damn tv for the love of God.""}
",        Youure not a serious person if you believe that That wasnut their demand at all Turn off the damn tv for the love of God 
24,"{""edit_history_tweet_ids"": [""1591120146764029952""], ""id"": ""1591120146764029952"", ""text"": ""@hrkbenowen What a bumbling buffoon \ud83d\udc00\ud83d\udc00\ud83d\udc00\ud83e\udd21\ud83e\udd21""}
",       What a bumbling buffoon uddudcuddudcuddudcudeuddudeudd 
25,"{""edit_history_tweet_ids"": [""1591120149817720833""], ""id"": ""1591120149817720833"", ""text"": ""@theJagmeetSingh Suck Trudeau""}
",       Suck Trudeau 
26,"{""edit_history_tweet_ids"": [""1591120152673722369""], ""id"": ""1591120152673722369"", ""text"": ""@KatSpeaksNB I get your point by your math does not speak well for NB schooling""}
",       I get your point by your math does not speak well for NB schooling 
27,"{""edit_history_tweet_ids"": [""1591120173045493760""], ""id"": ""1591120173045493760"", ""text"": ""You are a liar &amp; a fraud https://t.co/sFN691eItx""}
",      You are a liar amp a fraud  
28,"{""edit_history_tweet_ids"": [""1591120173838520320""], ""id"": ""1591120173838520320"", ""text"": ""Trudeau has buried us in debt and continues to borrow more money to give it away while ignoring issues in Canada that are urgent. He does not work for Canadians that much is known!!!!! https://t.co/LLvLrWy2n1""}
",      Trudeau has buried us in debt and continues to borrow more money to give it away while ignoring issues in Canada that are urgent He does not work for Canadians that much is known  
29,"{""edit_history_tweet_ids"": [""1591120178397315072""], ""id"": ""1591120178397315072"", ""text"": ""@hrkbenowen What do you expect, he is a Prick""}
",       What do you expect he is a Prick 
30,"{""edit_history_tweet_ids"": [""1591120183481233410""], ""id"": ""1591120183481233410"", ""text"": ""@WeAreCanProud The worst thing trudeau 'broke' was our fundamental trust in truth reason, logic, common sense, our neighbors, scientific process, experts, education, healthcare, and our institutions. Scientific process has become quackery, experts become parasites...he broke our SOCIETY.""}
",       The worst thing trudeau broke was our fundamental trust in truth reason logic common sense our neighbors scientific process experts education healthcare and our institutions Scientific process has become quackery experts become parasiteshe broke our SOCIETY 
31,"{""edit_history_tweet_ids"": [""1591120196919791616""], ""id"": ""1591120196919791616"", ""text"": ""@Gray_Mackenzie @GlobalNational @globalnews He turned his back on veterans yet again.  #TrudeauMustGo what a disgraceful person you're excited to lie about""}
",         He turned his back on veterans yet again  TrudeauMustGo what a disgraceful person youre excited to lie about 
32,"{""edit_history_tweet_ids"": [""1591120213671825408""], ""id"": ""1591120213671825408"", ""text"": ""@fordnation @Sunnybrook Great job Doug \nThe Conservative government actually works and achieve results \nWhile the Liberal government is surfing and burning Jet fuel\nTrudeau needs to go""}
",        Great job Doug nThe Conservative government actually works and achieve results nWhile the Liberal government is surfing and burning Jet fuelnTrudeau needs to go 
33,"{""edit_history_tweet_ids"": [""1591120215776972800""], ""id"": ""1591120215776972800"", ""text"": ""@WeAreCanProud God will break his ass""}
",       God will break his ass 
34,"{""edit_history_tweet_ids"": [""1591120215613444098""], ""id"": ""1591120215613444098"", ""text"": ""Social media docs are paid to peddle harmful fiction. By whom? #DougFord @fordnation \nFord Singh Trudeau still think they have a right to tell Canadians what health interventions they must have, and what to sport on their faces. #BackOff #cdnpoli #Canada https://t.co/rCGfxun3Ay""}
",      Social media docs are pa to peddle harmful fiction By whom DougFord  nFord Singh Trudeau still think they have a right to tell Canadians what health interventions they must have and what to sport on their faces BackOff cdnpoli Canada  
35,"{""edit_history_tweet_ids"": [""1591120232088997889""], ""id"": ""1591120232088997889"", ""text"": ""@Motomom128302 Rcmp are bought buy Trudeau""}
",       Rcmp are bought buy Trudeau 
36,"{""edit_history_tweet_ids"": [""1591120232089018369""], ""id"": ""1591120232089018369"", ""text"": ""@FreeCDN_Citizen @glenda_warn @TheTorontoSun @brianlilley \ud83e\udd14 Their is indigenous people in this country that still don't have clean drinking water and alot don't even have proper housing.\n\nWhat fountain of bullshit have you been drinking from?""}
",          udeudd Their is indigenous people in this country that still dont have clean drinking water and alot dont even have proper housingnnWhat fountain of bullshit have you been drinking from 
37,"{""edit_history_tweet_ids"": [""1591120223763337217""], ""id"": ""1591120223763337217"", ""text"": ""@WEXITBarbie Well it is a girl named Carl.""}
",       Well it is a girl named Carl 
38,"{""edit_history_tweet_ids"": [""1591120239068315648""], ""id"": ""1591120239068315648"", ""text"": ""@vH7D_ Was at Costco this morning. Where a minute of silence was announced followed by O\u2019 Canada. Very few people stopped to observe except those stuck in the long lineup. People need to clean up their own backyards!""}
",       Was at Costco this morning Where a minute of silence was announced followed by Ou Canada Very few people stopped to observe except those stuck in the long lineup People need to clean up their own backyards 
39,"{""edit_history_tweet_ids"": [""1591120243447201792""], ""id"": ""1591120243447201792"", ""text"": ""On Remembrance Day please spare a thought for our hardworking PM, Justin Trudeau, who is currently overseas, balls deep in Foreign Affairs.""}
",      On Remembrance Day please spare a thought for our hardworking PM Justin Trudeau who is currently overseas balls deep in Foreign Affairs 
40,"{""edit_history_tweet_ids"": [""1591120242679365632""], ""id"": ""1591120242679365632"", ""text"": ""@PierrePoilievre @lngcanada @bobzimmermp Get rid of Trudeau and his cronies then get to work for Canadians Pierre.""}
",         Get r of Trudeau and his cronies then get to work for Canadians Pierre 
41,"{""edit_history_tweet_ids"": [""1591120252259430400""], ""id"": ""1591120252259430400"", ""text"": ""@realmonsanto @ezralevant Trudeau I'm saying it to. HE needs to choke on it""}
",        Trudeau Im saying it to HE needs to choke on it 
42,"{""edit_history_tweet_ids"": [""1591120255559946240""], ""id"": ""1591120255559946240"", ""text"": ""Yup. Just keep slapping vets in the face bud. He\u2019s a POS. #TrudeauMustGo  Trudeau to miss national Remembrance Day ceremony due to summit in Cambodia https://t.co/7Gg4nQqNhH""}
",      Yup Just keep slapping vets in the face bud Heus a POS TrudeauMustGo  Trudeau to miss national Remembrance Day ceremony due to summit in Cambodia  
43,"{""edit_history_tweet_ids"": [""1591120258404069376""], ""id"": ""1591120258404069376"", ""text"": ""@danielkallan @rexglacer Sadly, \ud83d\udcaf. But he doesn't understand why recruiting is down and will stay down with this type of \ud83d\udca9.""}
",        Sadly uddudcaf But he doesnt understand why recruiting is down and will stay down with this type of uddudca 
44,"{""edit_history_tweet_ids"": [""1591120263663747074""], ""id"": ""1591120263663747074"", ""text"": ""@CTVNews This is a blatant lie... but then again, Trudeau paved the way for his #ThirdRichMedia to lie for his #bribecheques didn't he?\n.\n#CorruptTV #CriminalTV https://t.co/Zt1oa6G5bq""}
",       This is a blatant lie but then again Trudeau paved the way for his ThirdRichMedia to lie for his bribecheques dnt hennCorruptTV CriminalTV  
45,"{""edit_history_tweet_ids"": [""1591120267039809536""], ""id"": ""1591120267039809536"", ""text"": ""hehheeh what a clown https://t.co/hEoSu5aZPU""}
",      hehheeh what a clown  
46,"{""edit_history_tweet_ids"": [""1591120278490607618""], ""id"": ""1591120278490607618"", ""text"": ""@AtIssueCBC @RosieBarton @elamin88 @acoyne @ChantalHbert @althiaraj Andrew and Chantel were spot on wrt Trudeau and China. He was so eager to divest from the US and go all-in on China.""}
",            Andrew and Chantel were spot on wrt Trudeau and China He was so eager to divest from the US and go allin on China 
47,"{""edit_history_tweet_ids"": [""1591120285352460288""], ""id"": ""1591120285352460288"", ""text"": ""@theJagmeetSingh Well you are the big supporter of that mameluke .aren\u2019t you ?so be quiet now""}
",       Well you are the big supporter of that mameluke arenut you so be quiet now 
48,"{""edit_history_tweet_ids"": [""1591120288401326081""], ""id"": ""1591120288401326081"", ""text"": ""@DanKnightMMA It\u2019s about time provinces stood up to the creepy clown who calls himself a pm.""}
",       Itus about time provinces stood up to the creepy clown who calls himself a pm 
49,"{""edit_history_tweet_ids"": [""1591120327257788416""], ""id"": ""1591120327257788416"", ""text"": ""@theJagmeetSingh It's your fault you keep supporting the clown""}
",       Its your fault you keep supporting the clown 
50,"{""edit_history_tweet_ids"": [""1591120325780963333""], ""id"": ""1591120325780963333"", ""text"": ""@ScottAdamsSays Looks like Trump is telling us that Youngkin is owned by China - like half of the Canadian parliament\nhttps://t.co/moNHUCbB98""}
",       Looks like Trump is telling us that Youngkin is owned by China  like half of the Canadian parliamentn 
51,"{""edit_history_tweet_ids"": [""1591120330478977025""], ""id"": ""1591120330478977025"", ""text"": ""@Bugg16Bugg @fordnation @Sunnybrook Join, chat \ud83d\udcac and invest in a legitimate Crypto Trading platform and earn more\nhttps://t.co/J5KaljwrOk""}
",         Join chat uddudcac and invest in a legitimate Crypto Trading platform and earn moren 
52,"{""edit_history_tweet_ids"": [""1591120346739986433""], ""id"": ""1591120346739986433"", ""text"": ""@cilliansgrandma @fblainedickson @JasonKucherawy @gmbutts Trudeau is completely corrupt just like the royal family""}
",          Trudeau is completely corrupt just like the royal family 
53,"{""edit_history_tweet_ids"": [""1591120356819234816""], ""id"": ""1591120356819234816"", ""text"": ""@Larrybrockmp @krisster8 Justin Trudeau  will never  resign not a chance We could all march to Ottawa and  tar and feather Trudeau  and the CBC CTV Global  would all Parrot what a beautiful Black Bird Trudeau Identifies as !""}
",        Justin Trudeau  will never  resign not a chance We could all march to Ottawa and  tar and feather Trudeau  and the CBC CTV Global  would all Parrot what a beautiful Black Bird Trudeau Identifies as  
54,"{""edit_history_tweet_ids"": [""1591120358232690689""], ""id"": ""1591120358232690689"", ""text"": ""@tr6_guy Trudeau is just another #WEFpuppet \ud83d\ude44""}
",       Trudeau is just another WEFpuppet uddude 
55,"{""edit_history_tweet_ids"": [""1591120389383782402""], ""id"": ""1591120389383782402"", ""text"": ""Trudeau turns his back on the vets Shameful Disgusting POS\nLibtards Socialist have zero/nil economic sense or knowledge! \nWake the fuk up and stop drinking the Lieberal bs Kool-Aid  \nFire the liar\n#Shame\n#PierrePoilievre4PM\n#TrudeauCorruption\n#ClimateScam\n#TrudeauDestroyingCanada""}
",      Trudeau turns his back on the vets Shameful Disgusting POSnLibtards Socialist have zeronil economic sense or knowledge nWake the fuk up and stop drinking the Lieberal bs KoolA  nFire the liarnShamenPierrePoilievrePMnTrudeauCorruptionnClimateScamnTrudeauDestroyingCanada 
56,"{""edit_history_tweet_ids"": [""1591120395763331074""], ""id"": ""1591120395763331074"", ""text"": ""@slk55again Justin Trudeau  will never  resign not a chance We could all march to Ottawa and  tar and feather Trudeau  and the CBC CTV Global  would all Parrot what a beautiful Black Bird Trudeau Identifies as !""}
",       Justin Trudeau  will never  resign not a chance We could all march to Ottawa and  tar and feather Trudeau  and the CBC CTV Global  would all Parrot what a beautiful Black Bird Trudeau Identifies as  
57,"{""edit_history_tweet_ids"": [""1591120415531098123""], ""id"": ""1591120415531098123"", ""text"": ""@theJagmeetSingh Do you even hear yourself?  You PROP HIM UP and trash him on twitter? Disgusting.""}
",       Do you even hear yourself  You PROP HIM UP and trash him on twitter Disgusting 
58,"{""edit_history_tweet_ids"": [""1591120414318944258""], ""id"": ""1591120414318944258"", ""text"": ""@disclosetv Meanwhile, Trudeau/Liberals have been allowing PRC/CCP soldiers to train here in Canada and open PRC/CCP \u2018police stations\u2019 on Canadian soil. All while PRC/CCP have apparently been infiltrating public education, agencies and government. #TrudeauDestroyingCanada #GreatReset https://t.co/pDC0P92LNZ""}
",       Meanwhile TrudeauLiberals have been allowing PRCCCP soldiers to train here in Canada and open PRCCCP upolice stationsu on Canadian soil All while PRCCCP have apparently been infiltrating public education agencies and government TrudeauDestroyingCanada GreatReset  
59,"{""edit_history_tweet_ids"": [""1591120435357581312""], ""id"": ""1591120435357581312"", ""text"": ""@heaven__up_here @JimHiggs10 @1MikeMorris Why should there be \""crown corporations\""?  Why big government?""}
",         Why should there be crown corporations  Why big government 
60,"{""edit_history_tweet_ids"": [""1591120438486532098""], ""id"": ""1591120438486532098"", ""text"": ""@RobSheridan7 @WeAreCanProud These may be all true of Pierre but Trudeau has no qualifications to lead a govt, has never run a business, was born with a silver spoon, panders to the rich, has no higher education (quit 2 university courses before graduating) and yet you blindly fallow him.""}
",        These may be all true of Pierre but Trudeau has no qualifications to lead a govt has never run a business was born with a silver spoon panders to the rich has no higher education quit  university courses before graduating and yet you blindly fallow him 
61,"{""edit_history_tweet_ids"": [""1591120441980387328""], ""id"": ""1591120441980387328"", ""text"": ""@StateDept @GPA_AS @usembassytz There's no progress over our cases except of #PK #ARR number and the majority is running out of #cash. No #Visa extension, No #access to education , No #UNHCR protection. @SecBlinken @IOM_Pakistan @StateDept @Refugees @KJP46 @DeputySecState @POTUS @USCIS \n#SupportP2P1Pakistan""}
",         Theres no progress over our cases except of PK ARR number and the majority is running out of cash No Visa extension No access to education  No UNHCR protection         nSupportPPPakistan 
62,"{""edit_history_tweet_ids"": [""1591120455179849729""], ""id"": ""1591120455179849729"", ""text"": ""@CBCNews Who ever is tired of standing up for Alberta\u2019s rights then please leave. #notatruealbertan.""}
",       Who ever is tired of standing up for Albertaus rights then please leave notatruealbertan 
63,"{""edit_history_tweet_ids"": [""1591120460389167104""], ""id"": ""1591120460389167104"", ""text"": ""Good for Moe! We need more provinces to tell Trudeau to go to hell! https://t.co/tz1z5jFO9H""}
",      Good for Moe We need more provinces to tell Trudeau to go to hell  
64,"{""edit_history_tweet_ids"": [""1591120459554521089""], ""id"": ""1591120459554521089"", ""text"": ""@StateDept @GPA_AS @usembassytz @POTUS \n@StateDept\n @SecBlinken \n@IOM_Pakistan \n@USCIS\n @UN\nAfghan P1/P2 applicants are forced to EXIT from Pakistan till end of 2022 or suffer 3 years prison penalty.\nAfter a year passed,we have not received any email or call from IOM Pakistan.\n#SupportP2P1Pakistan""}
",          nn  n nn nAfghan PP applicants are forced to EXIT from Pakistan till end of  or suffer  years prison penaltynAfter a year passedwe have not received any email or call from IOM PakistannSupportPPPakistan 
65,"{""edit_history_tweet_ids"": [""1591120461223849985""], ""id"": ""1591120461223849985"", ""text"": ""@hrkbenowen THAT MAN IS SATAN""}
",       THAT MAN IS SATAN 
66,"{""edit_history_tweet_ids"": [""1591120479083188224""], ""id"": ""1591120479083188224"", ""text"": ""@dubsndoo Also noticeably more veterans there because of no Trudeau""}
",       Also noticeably more veterans there because of no Trudeau 
67,"{""edit_history_tweet_ids"": [""1591120479850754048""], ""id"": ""1591120479850754048"", ""text"": ""@StateDept @GPA_AS @usembassytz Afghan allies, waiting for a year without financial support and proper case processing in Pakistan, are starving some even warned of deportation. Please save our lives by processing P1/P2 cases.\n\n #SupportP2P1Pakistan""}
",         Afghan allies waiting for a year without financial support and proper case processing in Pakistan are starving some even warned of deportation Please save our lives by processing PP casesnn SupportPPPakistan 
68,"{""edit_history_tweet_ids"": [""1591120498829955072""], ""id"": ""1591120498829955072"", ""text"": ""@hrkbenowen Do folks in Canada buy this?\nHow do they rationalize it?""}
",       Do folks in Canada buy thisnHow do they rationalize it 
69,"{""edit_history_tweet_ids"": [""1591120500046016512""], ""id"": ""1591120500046016512"", ""text"": ""@nspector4 @Bluize69 @PierrePoilievre Unvaccinated Canadian vet here who firmly agrees that Trudeau should have spoke to the protestors\u2026 we deserve better than the division and bullying that has been happening. Peaceful resolutions can only happen when there is honest dialogue.""}
",         Unvaccinated Canadian vet here who firmly agrees that Trudeau should have spoke to the protestorsu we deserve better than the division and bullying that has been happening Peaceful resolutions can only happen when there is honest dialogue 
70,"{""edit_history_tweet_ids"": [""1591120532736729088""], ""id"": ""1591120532736729088"", ""text"": ""@kbolan @byrde64 @donie Hi @kbolan I support you. Just because one can sound whitty, or send a cool meme, doesn't provide any information that @CBC or 'main stream media'  are controlled by the govt or Trudeau. We need to restore confidence in people like you who are trying to report not manipulate""}
",         Hi  I support you Just because one can sound whitty or send a cool meme doesnt prove any information that  or main stream media  are controlled by the govt or Trudeau We need to restore confence in people like you who are trying to report not manipulate 
71,"{""edit_history_tweet_ids"": [""1591120536205246464""], ""id"": ""1591120536205246464"", ""text"": ""I feel that Trudeau is a Cunning Immoral Narcopath who Admires Communism who is A Nazi Enthusiast Protege And who Publicly Spewed  HATE Speech toward Unvaxed Canadians!\ud83e\uddd0#public #TrudeauMustGo https://t.co/CS8duar5c4""}
",      I feel that Trudeau is a Cunning Immoral Narcopath who Admires Communism who is A Nazi Enthusiast Protege And who Publicly Spewed  HATE Speech toward Unvaxed Canadiansudeudddpublic TrudeauMustGo  
72,"{""edit_history_tweet_ids"": [""1591120538252247042""], ""id"": ""1591120538252247042"", ""text"": ""@theJagmeetSingh You're the problem. Until you stop propping up #TrudeauCorruption no one cares what you say or think. #SellOutSingh #TrudeauDestroyingCanada #TrudeauMustGo""}
",       Youre the problem Until you stop propping up TrudeauCorruption no one cares what you say or think SellOutSingh TrudeauDestroyingCanada TrudeauMustGo 
73,"{""edit_history_tweet_ids"": [""1591120540726865920""], ""id"": ""1591120540726865920"", ""text"": ""Theater at its finest hour \n#TrudeauMustGo \n#TrudeauNationalDisgrace https://t.co/Wc6DurrtGZ""}
",      Theater at its finest hour nTrudeauMustGo nTrudeauNationalDisgrace  
74,"{""edit_history_tweet_ids"": [""1591120546804076544""], ""id"": ""1591120546804076544"", ""text"": ""The protestors didn't keep you or I awake.\nTrudeau did.\nThe self-absorbed citizens who comply with government overreach and complain about those challenging it did.\nThe apathetic who didn't contact the GoC saying \""Sit down and talk\"" did. https://t.co/GpxV1sJNQI""}
",      The protestors dnt keep you or I awakenTrudeau dnThe selfabsorbed citizens who comply with government overreach and complain about those challenging it dnThe apathetic who dnt contact the GoC saying Sit down and talk d  
75,"{""edit_history_tweet_ids"": [""1591120538730369028""], ""id"": ""1591120538730369028"", ""text"": ""Trudeau, Poilievre and other leaders\u2019 statements on Remembrance Day https://t.co/NhmOTWtPd9 via @Indo-Canadian Voice https://t.co/HPP9bsXtVA""}
",      Trudeau Poilievre and other leadersu statements on Remembrance Day  via Canadian Voice  
76,"{""edit_history_tweet_ids"": [""1591120554010247168""], ""id"": ""1591120554010247168"", ""text"": ""Justin Trudeau is a conman. https://t.co/J5rWYLpg8i""}
",      Justin Trudeau is a conman  
77,"{""edit_history_tweet_ids"": [""1591120554333175808""], ""id"": ""1591120554333175808"", ""text"": ""@TomStDenis2 @I83183177 @CP24 @JustinTrudeau Who is responsible for our supply of medicines given that most are not manufactured in Canada? \n\nThe government""}
",          Who is responsible for our supply of medicines given that most are not manufactured in Canada nnThe government 
78,"{""edit_history_tweet_ids"": [""1591120556497465345""], ""id"": ""1591120556497465345"", ""text"": ""@570770Simon @TheEconomist Try another thread, This one's about Trump.""}
",        Try another thread This ones about Trump 
79,"{""edit_history_tweet_ids"": [""1591120556560351232""], ""id"": ""1591120556560351232"", ""text"": ""@Derricktgoat What a messed up country. Better nobody named Trudeau was ever born.""}
",       What a messed up country Better nobody named Trudeau was ever born 
80,"{""edit_history_tweet_ids"": [""1591120565032873986""], ""id"": ""1591120565032873986"", ""text"": ""@LeftismForU Cause he is a dweeb""}
",       Cause he is a dweeb 
81,"{""edit_history_tweet_ids"": [""1591120586813878272""], ""id"": ""1591120586813878272"", ""text"": ""@1MikeMorris What??? Sorry but I disagree. The federal government under the Liberals (especially under Trudeau, Senior/Junior) has been a complete disaster and blame for where Canada is RIGHT NOW, rests solely with Justin Trudeau and his FAILED LEADERSHIP.""}
",       What Sorry but I disagree The federal government under the Liberals especially under Trudeau SeniorJunior has been a complete disaster and blame for where Canada is RIGHT NOW rests solely with Justin Trudeau and his FAILED LEADERSHIP 
82,"{""edit_history_tweet_ids"": [""1591120591947694080""], ""id"": ""1591120591947694080"", ""text"": ""@komradeperogie Honestly Trudeau is a terrible actor. See right through him""}
",       Honestly Trudeau is a terrible actor See right through him 
83,"{""edit_history_tweet_ids"": [""1591120590391619585""], ""id"": ""1591120590391619585"", ""text"": ""Has the PMO issued \u201ctalking points\u201d to the Trudeau media in preparation for mask mandates?""}
",      Has the PMO issued uctalking pointsud to the Trudeau media in preparation for mask mandates 
84,"{""edit_history_tweet_ids"": [""1591120592513953793""], ""id"": ""1591120592513953793"", ""text"": ""@LHumeSastre @alanfryermedia Harper\u2019s no longer the PM. That was one of the reasons he got voted out. A PM shouldn\u2019t miss Remembrance Day. So, the time has come for Trudeau to get voted out""}
",        Harperus no longer the PM That was one of the reasons he got voted out A PM shouldnut miss Remembrance Day So the time has come for Trudeau to get voted out 
85,"{""edit_history_tweet_ids"": [""1591120605696659456""], ""id"": ""1591120605696659456"", ""text"": ""@Martyupnorth_2 @29dubiousnow .....don't forget the new expensive watch and gift bag he'll receive in Cambodia (a very poor country) from that country's Prime Minister.\nTrudeau the shallow hypocrite as usual""}
",        dont forget the new expensive watch and gift bag hell receive in Cambodia a very poor country from that countrys Prime MinisternTrudeau the shallow hypocrite as usual 
